Customer_ID,Sex,Marital_Status,Age,Education,Income,Occupation,Spending_Score
DS-31626468-N,Male,Divorced,20,Some College,35171,White-Collar,82
DS-21977720-N,Male,Widowed,45,Some College,26729,Blue-Collar,13
DS-17074109-N,Male,Married,36,High School,51175,White-Collar,32
DS-18027578-N,Male,Married,46,Master's,98498,Manager,89
DS-23319329-N,Male,Widowed,65,Some College,88397,White-Collar,41
DS-70017391-N,Male,Married,41,High School,30386,Blue-Collar,14
DS-96741330-N,Female,Married,33,Bachelor's,41518,Manager,52
DS-26582353-N,Female,Married,30,High School,18451,Unemployed,30
DS-20660071-N,Female,Single,22,Master's,37259,Self-Employed,69
DS-33142081-N,Male,Married,65,Some College,90503,White-Collar,26
DS-71670298-N,Female,Married,39,High School,82586,Self-Employed,82
DS-85734613-N,Male,Divorced,31,Some College,67337,White-Collar,43
DS-12094973-N,Female,Single,30,High School,27180,Unemployed,9
DS-61156766-N,Female,Divorced,57,Bachelor's,91529,Retired,29
DS-54576545-N,Female,Divorced,33,High School,23979,Blue-Collar,28
DS-11720186-N,Male,Married,43,Bachelor's,74651,Manager,85
DS-17913819-N,Male,Married,55,Master's,114274,Retired,44
DS-30636184-N,Female,Divorced,59,Bachelor's,130000,Manager,31
DS-55014645-N,Male,Married,64,Some College,71603,Manager,34
DS-51909399-N,Female,Single,25,Some College,23751,Blue-Collar,14
DS-97197490-N,Female,Divorced,18,PhD,35896,White-Collar,71
DS-33222323-N,Female,Married,32,Some College,83559,Manager,75
DS-47021626-N,Female,Divorced,35,Bachelor's,37531,Blue-Collar,46
DS-39171772-N,Female,Divorced,59,Bachelor's,56732,Manager,22
DS-68092524-N,Male,Divorced,28,Bachelor's,34723,Blue-Collar,84
DS-46852031-N,Female,Married,53,Bachelor's,82537,White-Collar,43
DS-26964110-N,Male,Married,54,Master's,97048,Self-Employed,79
DS-31198746-N,Male,Single,37,Master's,117390,Self-Employed,79
DS-44434060-N,Female,Married,71,High School,80066,Self-Employed,38
DS-98645401-N,Female,Married,40,PhD,112006,Self-Employed,86
DS-80961979-N,Female,Married,44,Master's,71436,White-Collar,72
DS-53450102-N,Female,Married,37,Some College,27147,Blue-Collar,29
DS-63327332-N,Male,Widowed,37,Some College,22433,Student,25
DS-82654271-N,Female,Married,33,Master's,58383,White-Collar,42
DS-70706560-N,Male,Divorced,37,Master's,111140,White-Collar,82
DS-95522093-N,Female,Divorced,59,Bachelor's,84752,White-Collar,40
DS-53937494-N,Female,Married,69,Some College,74881,White-Collar,43
DS-48259454-N,Male,Divorced,30,Some College,21349,White-Collar,37
DS-10092924-N,Female,Divorced,29,Bachelor's,21023,White-Collar,17
DS-99625148-N,Male,Single,22,Master's,21196,Blue-Collar,17
DS-61479202-N,Male,Married,50,Some College,85993,Self-Employed,67
DS-86634308-N,Male,Married,33,Master's,41179,Manager,47
DS-97022284-N,Female,Married,41,Bachelor's,107162,Manager,88
DS-81508562-N,Female,Single,20,Bachelor's,31402,Student,67
DS-91024934-N,Female,Married,43,Master's,102630,Self-Employed,69
DS-24443370-N,Male,Married,32,Bachelor's,51739,Manager,55
DS-15533466-N,Female,Single,31,High School,22170,Blue-Collar,23
DS-17400371-N,Male,Married,54,PhD,73665,Self-Employed,20
DS-27034364-N,Female,Single,35,Master's,101592,White-Collar,88
DS-59660687-N,Female,Single,22,Some College,22237,Unemployed,19
DS-90139460-N,Female,Widowed,64,High School,106508,Retired,21
DS-81609780-N,Male,Married,48,Bachelor's,93194,Manager,64
DS-48295612-N,Female,Divorced,29,Some College,56029,Manager,30
DS-67668340-N,Male,Divorced,30,High School,52993,Self-Employed,55
DS-79573170-N,Male,Single,20,High School,28060,Student,56
DS-40936357-N,Male,Married,47,Master's,106052,Manager,79
DS-78318418-N,Female,Married,40,Bachelor's,90847,Manager,84
DS-18801762-N,Male,Single,44,Bachelor's,27721,Blue-Collar,9
DS-83866171-N,Female,Married,42,High School,65230,Blue-Collar,68
DS-54628277-N,Male,Single,29,Bachelor's,63761,White-Collar,44
DS-14944527-N,Female,Single,23,Bachelor's,39723,White-Collar,66
DS-36346820-N,Male,Married,66,Master's,99736,Retired,21
DS-28659900-N,Male,Divorced,21,Some College,48168,Student,63
DS-59579853-N,Male,Married,53,High School,60341,Manager,36
DS-24073004-N,Male,Married,40,Some College,142896,Manager,84
DS-83306756-N,Female,Single,22,Some College,17107,Blue-Collar,45
DS-23498185-N,Male,Single,27,High School,21092,Blue-Collar,5
DS-39146049-N,Female,Married,35,Bachelor's,98697,White-Collar,85
DS-94697738-N,Female,Married,55,Bachelor's,69743,Retired,31
DS-11820459-N,Female,Single,37,Bachelor's,70737,Blue-Collar,56
DS-24137045-N,Female,Married,33,Bachelor's,72164,Manager,90
DS-81311112-N,Male,Single,23,Bachelor's,42024,Student,81
DS-93880366-N,Male,Divorced,21,Some College,20132,Student,72
DS-47340102-N,Male,Widowed,33,Some College,28033,Blue-Collar,8
DS-48506936-N,Male,Married,43,Bachelor's,94176,White-Collar,84
DS-77936149-N,Female,Divorced,51,High School,90165,Self-Employed,91
DS-17751094-N,Male,Married,41,Some College,117667,Manager,70
DS-77667433-N,Female,Married,33,Master's,50193,Self-Employed,70
DS-75132495-N,Male,Single,38,High School,23382,Unemployed,22
DS-52339648-N,Male,Married,48,Some College,71789,Manager,29
DS-62742219-N,Female,Single,51,High School,23476,Manager,15
DS-71443553-N,Female,Widowed,48,Bachelor's,81089,Manager,83
DS-24301676-N,Male,Single,41,Some College,22997,Unemployed,26
DS-30562785-N,Male,Widowed,61,PhD,106804,Blue-Collar,50
DS-69288702-N,Male,Married,55,Bachelor's,65956,Self-Employed,41
DS-13179472-N,Female,Single,30,Some College,57385,White-Collar,39
DS-71147509-N,Male,Married,60,Bachelor's,90923,Self-Employed,48
DS-81512556-N,Female,Married,47,Master's,87754,Manager,83
DS-76395900-N,Male,Married,42,High School,55870,White-Collar,41
DS-68388417-N,Female,Married,60,Some College,84526,White-Collar,26
DS-32858890-N,Male,Married,28,High School,18404,Student,40
DS-90474633-N,Male,Married,32,High School,44915,Self-Employed,31
DS-73723089-N,Female,Married,49,PhD,105097,Self-Employed,80
DS-28903947-N,Male,Single,31,Master's,86859,Manager,75
DS-71056927-N,Female,Married,41,Master's,105621,Self-Employed,89
DS-66178220-N,Male,Married,30,Some College,10048,White-Collar,18
DS-80441191-N,Female,Married,60,Some College,125208,Retired,9
DS-97938288-N,Male,Divorced,26,Master's,42581,Unemployed,88
DS-26041583-N,Male,Married,43,Master's,71661,Manager,84
DS-88920254-N,Female,Married,37,PhD,123099,Manager,90
DS-38780613-N,Female,Married,45,Bachelor's,61076,Blue-Collar,42
DS-87835717-N,Male,Married,48,Bachelor's,85268,White-Collar,29
DS-70835307-N,Female,Divorced,31,Some College,21381,Blue-Collar,18
DS-56965491-N,Male,Single,34,Bachelor's,34253,Manager,51
DS-32148947-N,Female,Married,65,Master's,84487,Self-Employed,38
DS-91897245-N,Male,Married,32,Bachelor's,60911,White-Collar,50
DS-77817161-N,Male,Single,28,Some College,36671,Blue-Collar,75
DS-24120960-N,Male,Widowed,49,Some College,110523,Manager,46
DS-97838840-N,Female,Married,40,Master's,100510,White-Collar,89
DS-70136100-N,Female,Married,38,Master's,51631,Manager,43
DS-52039004-N,Female,Married,68,Bachelor's,74057,Manager,25
DS-67444971-N,Female,Single,31,Some College,27008,Student,34
DS-36633592-N,Female,Married,45,Bachelor's,101275,Manager,93
DS-98252734-N,Female,Divorced,25,Some College,34490,Self-Employed,69
DS-98607652-N,Female,Single,29,Some College,16814,White-Collar,27
DS-25703861-N,Male,Divorced,22,Some College,23133,Unemployed,16
DS-31276455-N,Male,Single,37,Bachelor's,56306,Self-Employed,50
DS-44850282-N,Female,Single,23,High School,29723,Student,69
DS-38948701-N,Female,Married,39,Master's,56259,Manager,60
DS-85516933-N,Female,Single,25,Bachelor's,24321,Blue-Collar,17
DS-47275208-N,Male,Single,36,Some College,29144,Blue-Collar,8
DS-54482476-N,Female,Divorced,22,Bachelor's,38352,Unemployed,81
DS-95417960-N,Male,Married,46,Some College,74113,Self-Employed,25
DS-48874884-N,Male,Single,21,High School,33505,Blue-Collar,81
DS-46761548-N,Female,Married,27,Master's,53247,Self-Employed,55
DS-26594564-N,Female,Divorced,25,Some College,52187,Student,71
DS-89798864-N,Female,Single,47,Master's,65000,Manager,73
DS-51830201-N,Male,Married,41,Master's,83113,Manager,79
DS-62684245-N,Female,Single,39,High School,14184,Blue-Collar,11
DS-72073954-N,Male,Single,24,Some College,43255,Blue-Collar,78
DS-22191248-N,Female,Married,47,Bachelor's,74605,Manager,27
DS-39031293-N,Male,Married,55,PhD,86536,White-Collar,83
DS-13044533-N,Male,Married,29,High School,71238,Unemployed,55
DS-21086425-N,Male,Married,52,Master's,73021,White-Collar,23
DS-23005233-N,Female,Widowed,34,Bachelor's,95511,Self-Employed,75
DS-23087562-N,Male,Married,54,Master's,70885,Manager,83
DS-61064574-N,Male,Widowed,49,Bachelor's,85146,Manager,73
DS-24466965-N,Male,Single,36,High School,19654,Unemployed,13
DS-51708275-N,Male,Divorced,49,Bachelor's,100544,Self-Employed,81
DS-41051662-N,Female,Single,33,Some College,59002,Self-Employed,54
DS-93575136-N,Male,Married,25,High School,61841,White-Collar,43
DS-17871182-N,Male,Married,50,Bachelor's,70986,Manager,75
DS-93514177-N,Female,Married,37,Master's,85056,Self-Employed,70
DS-87480940-N,Male,Married,36,High School,54200,Self-Employed,54
DS-52608926-N,Male,Widowed,62,Bachelor's,69966,White-Collar,23
DS-80739069-N,Male,Single,30,Master's,17322,Blue-Collar,20
DS-40158832-N,Male,Married,34,Master's,60042,White-Collar,54
DS-24177671-N,Female,Married,32,High School,45235,Manager,51
DS-51493706-N,Female,Married,35,Bachelor's,52650,White-Collar,43
DS-45643796-N,Female,Married,28,Master's,51120,Manager,50
DS-60499044-N,Female,Single,30,Master's,49860,Manager,40
DS-66301074-N,Female,Married,50,High School,63484,Retired,38
DS-58617871-N,Female,Divorced,38,Master's,60016,Self-Employed,54
DS-55950592-N,Female,Divorced,27,PhD,35609,Unemployed,75
DS-96691663-N,Male,Single,32,Bachelor's,67920,Manager,44
DS-49718046-N,Female,Married,34,PhD,40930,White-Collar,47
DS-56094090-N,Female,Married,54,Master's,63993,Self-Employed,37
DS-46879462-N,Male,Married,48,Bachelor's,72587,White-Collar,29
DS-36061366-N,Male,Single,24,High School,23115,Unemployed,26
DS-37890767-N,Female,Married,53,Bachelor's,77018,Manager,28
DS-46294280-N,Male,Married,37,Bachelor's,82846,Manager,83
DS-60933064-N,Male,Married,42,High School,99632,White-Collar,95
DS-69349395-N,Male,Married,44,Master's,122065,Manager,80
DS-98285424-N,Male,Married,54,Some College,61846,Retired,8
DS-75345727-N,Male,Married,32,Bachelor's,55343,Blue-Collar,53
DS-80846059-N,Female,Married,60,High School,64370,Self-Employed,33
DS-78854924-N,Female,Widowed,63,Some College,79297,Self-Employed,23
DS-30710265-N,Male,Divorced,26,Bachelor's,18187,Blue-Collar,31
DS-96611699-N,Male,Single,29,Bachelor's,46436,White-Collar,45
DS-67170889-N,Female,Divorced,27,Bachelor's,35513,Unemployed,65
DS-73611726-N,Female,Single,31,Some College,25406,White-Collar,11
DS-68096980-N,Male,Married,49,Bachelor's,76093,Manager,24
DS-97476854-N,Female,Divorced,60,Bachelor's,87004,Manager,27
DS-65189852-N,Male,Divorced,26,Bachelor's,44795,Self-Employed,87
DS-21326945-N,Male,Married,29,Master's,51567,White-Collar,31
DS-94974467-N,Female,Married,32,High School,51540,White-Collar,60
DS-24166289-N,Female,Single,18,Master's,30626,White-Collar,78
DS-42935697-N,Female,Single,24,Bachelor's,49526,Manager,71
DS-10712386-N,Male,Married,43,Bachelor's,122007,Self-Employed,91
DS-34634106-N,Male,Married,32,Bachelor's,113938,White-Collar,77
DS-48908884-N,Female,Single,31,Some College,27029,Manager,11
DS-36131315-N,Male,Married,35,Bachelor's,50080,White-Collar,65
DS-72271108-N,Male,Divorced,43,High School,16027,Student,24
DS-60073861-N,Male,Married,48,Master's,67477,White-Collar,18
DS-69341309-N,Male,Married,40,Bachelor's,62031,White-Collar,57
DS-12046003-N,Male,Married,32,Bachelor's,44577,White-Collar,57
DS-75580727-N,Female,Divorced,60,Bachelor's,87088,Self-Employed,8
DS-74129108-N,Female,Married,43,Master's,94770,White-Collar,86
DS-98433881-N,Female,Married,27,Bachelor's,51602,Self-Employed,54
DS-70415958-N,Female,Married,58,Some College,130000,Blue-Collar,11
DS-44748312-N,Male,Married,36,Bachelor's,36072,Manager,55
DS-35494146-N,Male,Married,26,Bachelor's,68909,White-Collar,38
DS-87343407-N,Female,Single,27,High School,22552,Blue-Collar,16
DS-71917765-N,Male,Married,41,Bachelor's,99202,Manager,75
DS-26476077-N,Male,Single,25,Some College,20718,Blue-Collar,17
DS-53137615-N,Male,Married,62,Some College,105192,Retired,14
DS-69274813-N,Female,Divorced,28,Bachelor's,31253,Self-Employed,91
DS-25293004-N,Male,Married,25,Some College,11622,White-Collar,21
DS-85264331-N,Female,Married,60,Bachelor's,101550,Retired,14
DS-84332433-N,Male,Single,26,Some College,28157,Blue-Collar,78
DS-43538121-N,Female,Single,47,Master's,109296,Manager,86
DS-57553739-N,Male,Single,27,Bachelor's,19053,Blue-Collar,17
DS-52159852-N,Male,Divorced,38,Bachelor's,17159,Self-Employed,19
DS-62595868-N,Male,Single,25,High School,20000,Self-Employed,24
DS-63742015-N,Female,Married,38,Some College,106131,White-Collar,84
DS-53969182-N,Male,Single,38,Some College,20656,Self-Employed,5
DS-11554896-N,Female,Married,51,Bachelor's,90750,Retired,18
DS-25981481-N,Female,Divorced,19,Master's,24261,Student,90
DS-65082898-N,Female,Single,53,Some College,21092,Blue-Collar,21
DS-76571126-N,Female,Single,40,Master's,23328,Blue-Collar,27
DS-59167616-N,Male,Married,38,Some College,14275,White-Collar,17
DS-89124819-N,Female,Married,31,Bachelor's,57561,White-Collar,63
DS-55502106-N,Male,Single,35,Master's,18265,Student,30
DS-62445828-N,Female,Married,42,Bachelor's,99028,White-Collar,94
DS-50003471-N,Female,Divorced,57,Bachelor's,80940,Blue-Collar,17
DS-72494830-N,Female,Married,29,Bachelor's,48827,Self-Employed,53
DS-61094621-N,Male,Single,33,Some College,15679,Self-Employed,26
DS-24980009-N,Female,Married,35,Some College,45015,White-Collar,68
DS-55622815-N,Male,Divorced,20,Some College,31078,Blue-Collar,85
DS-43055871-N,Male,Single,27,High School,62093,Unemployed,52
DS-31627977-N,Male,Married,45,Bachelor's,112785,Manager,87
DS-80187027-N,Male,Married,47,Some College,106584,Retired,16
DS-27186806-N,Male,Married,40,Bachelor's,29640,Blue-Collar,29
DS-75684686-N,Male,Married,57,High School,89004,Retired,22
DS-12751732-N,Female,Married,38,Bachelor's,103795,Manager,91
DS-58986831-N,Male,Married,22,High School,28555,White-Collar,19
DS-64894364-N,Male,Single,36,Master's,20483,Student,20
DS-39127667-N,Female,Married,45,Master's,88247,Manager,18
DS-49577875-N,Female,Divorced,19,High School,31328,Unemployed,82
DS-33539363-N,Male,Single,24,Master's,37051,Manager,70
DS-91387239-N,Male,Married,31,High School,52722,Self-Employed,59
DS-69657054-N,Female,Married,59,Master's,89958,White-Collar,16
DS-38595751-N,Female,Divorced,59,Bachelor's,80430,Blue-Collar,24
DS-47308469-N,Female,Married,37,PhD,91543,Self-Employed,74
DS-52423215-N,Male,Married,43,PhD,91214,Manager,79
DS-69811633-N,Male,Married,33,Bachelor's,65000,White-Collar,77
DS-42695632-N,Female,Married,29,Master's,70681,Self-Employed,66
DS-69938673-N,Female,Widowed,31,Bachelor's,25782,Blue-Collar,9
DS-58667444-N,Male,Single,25,Bachelor's,37425,White-Collar,71
DS-46278938-N,Female,Single,44,Some College,84424,Self-Employed,81
DS-17788891-N,Male,Married,63,Bachelor's,63507,White-Collar,41
DS-88974357-N,Female,Married,45,Master's,75863,Self-Employed,19
DS-74735549-N,Female,Single,22,High School,10000,Self-Employed,27
DS-33504206-N,Male,Married,36,Bachelor's,50258,White-Collar,44
DS-98258329-N,Female,Single,22,Bachelor's,32555,Student,74
DS-65905177-N,Male,Married,50,Bachelor's,74963,Retired,18
DS-20458636-N,Male,Divorced,21,High School,30638,Self-Employed,72
DS-54297352-N,Female,Divorced,25,Bachelor's,32246,Blue-Collar,78
DS-18430403-N,Male,Married,52,Some College,89005,Self-Employed,83
DS-22012610-N,Male,Married,64,Bachelor's,52176,Manager,43
DS-68410823-N,Male,Married,27,Master's,63205,White-Collar,53
DS-30951673-N,Female,Single,18,Bachelor's,38083,White-Collar,77
DS-30919089-N,Male,Divorced,32,Master's,55795,Self-Employed,59
DS-62228883-N,Female,Divorced,20,Bachelor's,30962,White-Collar,85
DS-15578262-N,Female,Single,32,High School,15604,Blue-Collar,26
DS-51943661-N,Female,Married,26,Master's,62241,Blue-Collar,64
DS-20928605-N,Male,Single,41,Master's,86775,Self-Employed,83
DS-77301197-N,Female,Married,31,High School,84836,White-Collar,91
DS-59193649-N,Male,Married,30,Some College,59158,Manager,58
DS-77049430-N,Male,Single,18,Some College,45706,Unemployed,76
DS-11895100-N,Female,Married,36,Bachelor's,26726,Student,26
DS-42021523-N,Female,Single,23,Some College,31340,Self-Employed,88
DS-20444224-N,Female,Single,29,High School,23116,White-Collar,6
DS-19077851-N,Male,Divorced,18,Some College,31874,White-Collar,86
DS-61076598-N,Male,Divorced,21,Bachelor's,39426,Student,87
DS-98355795-N,Male,Single,41,Bachelor's,18606,White-Collar,19
DS-90802795-N,Female,Widowed,66,Some College,75870,Manager,27
DS-94285450-N,Male,Divorced,29,Some College,22946,Blue-Collar,24
DS-13896969-N,Female,Married,25,Master's,54779,Unemployed,63
DS-56948103-N,Male,Married,64,Bachelor's,70108,Manager,26
DS-91241056-N,Male,Single,36,High School,20871,Blue-Collar,34
DS-97612540-N,Male,Divorced,31,High School,39087,Unemployed,74
DS-70084179-N,Female,Married,66,Master's,83826,Blue-Collar,38
DS-79126730-N,Female,Divorced,39,Some College,46476,White-Collar,56
DS-41190707-N,Female,Single,19,High School,37118,Student,70
DS-37698817-N,Female,Divorced,34,Some College,51161,Self-Employed,54
DS-18711900-N,Female,Married,45,PhD,103729,Retired,28
DS-38811874-N,Male,Married,51,PhD,109324,Self-Employed,22
DS-47848380-N,Female,Married,32,High School,49259,Blue-Collar,49
DS-50497814-N,Female,Single,37,Bachelor's,88860,White-Collar,77
DS-74897561-N,Male,Divorced,46,Bachelor's,94711,Manager,79
DS-27326935-N,Male,Married,39,Some College,57104,White-Collar,50
DS-41067640-N,Female,Married,34,Bachelor's,45820,White-Collar,69
DS-49559420-N,Male,Divorced,31,High School,18538,Unemployed,5
DS-56807862-N,Female,Divorced,35,Master's,22365,Blue-Collar,20
DS-44124987-N,Female,Married,35,Master's,101424,Self-Employed,80
DS-53088332-N,Female,Divorced,33,Bachelor's,55618,Blue-Collar,42
DS-22184794-N,Male,Single,31,Some College,61879,Blue-Collar,45
DS-22355961-N,Female,Single,27,Bachelor's,30431,Unemployed,73
DS-70219032-N,Female,Married,33,Bachelor's,54636,White-Collar,53
DS-90818410-N,Male,Divorced,44,Bachelor's,120117,Manager,81
DS-36644945-N,Male,Married,57,Bachelor's,85901,White-Collar,28
DS-15452363-N,Female,Married,65,Some College,121760,White-Collar,29
DS-85767787-N,Female,Divorced,28,Some College,27409,Unemployed,9
DS-16178090-N,Male,Married,28,Bachelor's,32920,Blue-Collar,27
DS-70878378-N,Male,Widowed,37,Bachelor's,19377,Blue-Collar,34
DS-82590159-N,Female,Divorced,27,High School,25712,Blue-Collar,16
DS-37385138-N,Male,Married,45,Some College,20014,White-Collar,12
DS-46347366-N,Male,Married,30,Master's,85000,Manager,65
DS-70340101-N,Female,Divorced,21,Bachelor's,25140,Blue-Collar,62
DS-82969788-N,Male,Single,24,Bachelor's,35319,White-Collar,71
DS-31213647-N,Male,Married,61,Bachelor's,75182,Manager,36
DS-77620697-N,Female,Married,25,Some College,53480,White-Collar,62
DS-26940644-N,Male,Divorced,26,High School,30984,Student,77
DS-95328004-N,Female,Single,36,Some College,36265,White-Collar,58
DS-12890104-N,Female,Married,49,Some College,68321,White-Collar,84
DS-40410902-N,Male,Divorced,19,High School,24321,Unemployed,71
DS-22936412-N,Female,Married,32,Master's,65600,Blue-Collar,51
DS-38848884-N,Female,Single,35,Some College,17125,Blue-Collar,27
DS-34661664-N,Male,Single,19,High School,42999,Self-Employed,85
DS-98619083-N,Female,Divorced,33,Some College,16115,Student,38
DS-23574489-N,Male,Single,25,Bachelor's,39255,White-Collar,79
DS-25275502-N,Male,Married,30,Master's,125843,Manager,73
DS-24491415-N,Male,Single,21,Bachelor's,27910,Blue-Collar,81
DS-61494057-N,Male,Divorced,29,Some College,35326,White-Collar,51
DS-65550626-N,Female,Married,22,Some College,30148,Self-Employed,18
DS-44716672-N,Male,Divorced,28,High School,22822,White-Collar,74
DS-26829152-N,Male,Widowed,53,Bachelor's,84556,White-Collar,36
DS-36603993-N,Female,Divorced,28,Bachelor's,43722,White-Collar,57
DS-67465742-N,Male,Married,39,Bachelor's,75109,Manager,78
DS-80039230-N,Male,Married,26,PhD,57113,White-Collar,62
DS-68047088-N,Male,Single,23,Bachelor's,43209,Blue-Collar,83
DS-22027354-N,Male,Single,36,High School,22880,Unemployed,15
DS-15682211-N,Male,Widowed,48,Bachelor's,105730,Manager,87
DS-85573097-N,Male,Married,28,Some College,55073,Self-Employed,37
DS-42197661-N,Female,Married,55,PhD,82944,White-Collar,95
DS-57359927-N,Male,Single,29,High School,22136,Blue-Collar,21
DS-56762609-N,Female,Divorced,26,Some College,34853,White-Collar,79
DS-21863107-N,Female,Married,66,High School,82417,Blue-Collar,28
DS-81284128-N,Female,Married,53,Master's,93010,Retired,74
DS-85643375-N,Male,Married,45,Some College,125862,White-Collar,82
DS-97591555-N,Male,Divorced,37,Master's,20796,Blue-Collar,22
DS-72502993-N,Female,Married,43,Master's,114763,White-Collar,73
DS-18315410-N,Female,Divorced,49,Some College,49627,Manager,10
DS-99921360-N,Male,Married,55,Bachelor's,64905,White-Collar,19
DS-76393319-N,Female,Married,28,Bachelor's,61723,Unemployed,53
DS-84994418-N,Male,Divorced,48,Bachelor's,85915,Self-Employed,96
DS-33180988-N,Female,Widowed,65,Bachelor's,73226,Retired,28
DS-18394744-N,Female,Married,40,PhD,62335,Self-Employed,52
DS-44482824-N,Female,Single,22,Bachelor's,24477,Blue-Collar,75
DS-96248642-N,Male,Married,54,Bachelor's,95472,Self-Employed,24
DS-47559677-N,Female,Married,36,Some College,78943,Unemployed,70
DS-12170268-N,Female,Divorced,32,Master's,25654,Blue-Collar,16
DS-74256522-N,Female,Single,18,Bachelor's,39107,Blue-Collar,99
DS-36409567-N,Female,Single,39,High School,24574,Blue-Collar,29
DS-99851411-N,Female,Married,31,Bachelor's,69527,Self-Employed,67
DS-44413584-N,Male,Divorced,25,Bachelor's,48203,White-Collar,79
DS-58848529-N,Female,Married,43,High School,26713,Unemployed,26
DS-93183825-N,Female,Married,29,Master's,46936,Blue-Collar,52
DS-10269090-N,Female,Single,29,High School,24948,Unemployed,89
DS-71873136-N,Female,Divorced,18,Bachelor's,31833,Blue-Collar,53
DS-94437508-N,Female,Divorced,31,Bachelor's,41652,White-Collar,72
DS-59179853-N,Male,Married,68,Bachelor's,93241,Blue-Collar,45
DS-82569439-N,Male,Married,26,High School,49087,White-Collar,55
DS-44626636-N,Male,Married,69,Bachelor's,99270,Manager,20
DS-74690502-N,Male,Single,40,Some College,24952,Retired,20
DS-36465184-N,Male,Married,56,Some College,74584,Manager,15
DS-77685212-N,Male,Married,69,Some College,71615,Blue-Collar,26
DS-16430108-N,Male,Married,36,Some College,65877,White-Collar,58
DS-79721842-N,Male,Single,22,High School,15913,Blue-Collar,23
DS-20646690-N,Female,Single,24,Bachelor's,37433,White-Collar,72
DS-44282359-N,Female,Single,22,Some College,22821,Blue-Collar,41
DS-76835553-N,Female,Married,54,Bachelor's,97555,Manager,33
DS-77668562-N,Female,Married,32,Master's,62290,Self-Employed,55
DS-65964093-N,Female,Married,39,Some College,26229,Unemployed,26
DS-75152478-N,Male,Divorced,22,Some College,32255,Student,63
DS-59913169-N,Female,Single,26,Some College,50894,Manager,79
DS-80674661-N,Female,Married,57,Master's,88185,Self-Employed,22
DS-93242283-N,Female,Divorced,19,Master's,35930,White-Collar,70
DS-26733124-N,Male,Married,61,Some College,107378,Manager,18
